"LINE_NO","GMT_DATE","GMT_TIME","LMT_DATE","LMT_TIME","ECEF_X","ECEF_Y","ECEF_Z","LATITUDE","LONGITUDE","HEIGHT","DOP","NAV","VALIDATED","SATS_USED","CH1_SATID","CH1_C.N","CH2_SATID","CH2_C.N","CH3_SATID","CH3_C.N","CH4_SATID","CH4_C.N","CH5_SATID","CH5_C.N","CH6_SATID","CH6_C.N","CH7_SATID","CH7_C.N","CH8_SATID","CH8_C.N","CH9_SATID","CH9_C.N","CH10_SATID","CH10_C.N","CH11_SATID","CH11_C.N","CH12_SATID","CH12_C.N","MAIN_VOL","BU_VOL","TEMP","REMARKS","ID","StStatus","POSTime","Name","Stock.Dens"
1,"2020-10-06","00:01:29","2020-10-06","00:01:29",-863219,-5619547,2881340,27.0309676,-98.7329479,148.55,2.4,"3D","Yes",6,10,32,16,38,21,29,22,29,26,38,31,29,0,0,0,0,0,0,0,0,0,0,0,0,3.56,3.64,33,NA,"F20_009","before","2020-10-06 00:01:29","San Rafael",0
2,"2020-10-06","03:00:30","2020-10-06","03:00:30",-863494,-5619635,2881085,27.0283897,-98.7355524,147.34,2.8,"3D","Yes",6,3,32,8,38,16,38,22,35,26,32,27,35,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,28,NA,"F20_009","before","2020-10-06 03:00:30",NA,0
3,"2020-10-06","06:01:00","2020-10-06","06:01:00",-863875,-5619572,2881105,27.0285685,-98.7394437,152.52,3.4,"3D","Yes",6,1,32,7,32,9,38,17,35,28,29,30,29,0,0,0,0,0,0,0,0,0,0,0,0,3.56,3.64,25,NA,"F20_009","before","2020-10-06 06:01:00","Guadalupe",0
4,"2020-10-06","09:00:16","2020-10-06","09:00:16",-863875,-5619599,2881042,27.0279526,-98.7394024,147.66,3.6,"3D","Yes",5,1,29,7,32,17,32,28,29,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,24,NA,"F20_009","before","2020-10-06 09:00:16","Guadalupe",0
5,"2020-10-06","12:00:48","2020-10-06","12:00:48",-863970,-5619642,2880936,27.0268669,-98.7402828,150.21,1.8,"3D","Yes",7,2,35,5,35,6,29,12,35,24,35,25,29,28,32,0,0,0,0,0,0,0,0,0,0,3.56,3.64,26,NA,"F20_009","before","2020-10-06 12:00:48","Guadalupe",0
6,"2020-10-06","15:00:30","2020-10-06","15:00:30",-863511,-5619600,2881155,27.0290837,-98.7357753,150.63,2.8,"3D","Yes",6,2,32,5,29,12,32,18,35,25,38,29,38,0,0,0,0,0,0,0,0,0,0,0,0,3.56,3.64,34,NA,"F20_009","before","2020-10-06 15:00:30","San Rafael",0
7,"2020-10-06","18:00:48","2020-10-06","18:00:48",-863502,-5619601,2881157,27.0291013,-98.7356841,151.21,2,"3D","Yes",7,10,38,13,32,15,35,18,35,20,38,23,38,29,29,0,0,0,0,0,0,0,0,0,0,3.58,3.64,37,NA,"F20_009","before","2020-10-06 18:00:48","San Rafael",0
8,"2020-10-06","21:00:30","2020-10-06","21:00:30",-863502,-5619604,2881152,27.029049,-98.7356795,151.58,6.4,"3D","Yes",5,10,35,20,32,21,38,23,35,31,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.58,37,NA,"F20_009","before","2020-10-06 21:00:30","San Rafael",0
9,"2020-10-07","00:00:29","2020-10-07","00:00:29",-863769,-5619569,2881134,27.0288798,-98.7383925,148.71,3.2,"3D","Yes",4,16,35,21,32,26,38,31,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.64,33,NA,"F20_009","before","2020-10-07 00:00:29","San Rafael",0
10,"2020-10-07","03:00:29","2020-10-07","03:00:29",-863803,-5619654,2880951,27.0270429,-98.738601,144.99,2.6,"3D","Yes",5,7,35,8,29,9,32,16,38,26,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.64,28,NA,"F20_009","before","2020-10-07 03:00:29","Guadalupe",0
